0,1,2,3,4,5,6,7,8,LastUpdated_NSW
Mill Dam Falls,0.0,0.0,0.0,0.0,0.0,8.4,0.4,0.0,2026-09-24 06:51:28
Dungog Post Office,0.0,0.0,0.0,0.0,0.0,5.2,0.6,0.0,2026-09-24 06:51:28
Dungog (Leawood),0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2026-09-24 06:51:28
Upper Myall Creek,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2026-09-24 06:51:28
Upper Chichester (Simmonds),0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2026-09-24 06:51:28
Barrington (Bonnie Doon Salisbury),,,,,,,,,2026-09-24 06:51:28
Seaham,0.0,0.0,0.0,0.0,0.0,8.0,0.5,0.0,2026-09-24 06:51:28
Clarence Town (Prince St),,,,,,,,,2026-09-24 06:51:28
